domain,category,score,first_seen,last_seen,ports,ip,url,type,file_hash
,THREATFOX,0.0,2025-10-30,2025-10-30,,43.229.150.69,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,43.229.150.69,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,3.115.56.24,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,3.115.56.24,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,45.141.87.243,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,45.141.87.243,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,64.188.91.231,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,80.97.160.178,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,45.153.34.90,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,168.119.55.209,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,192.227.128.173,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,216.9.224.128,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,91.231.222.220,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,85.117.242.5,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,8.136.50.233,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,185.163.204.16,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,106.14.132.222,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,106.14.132.222,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,43.198.241.172,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,43.198.241.172,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,64.7.199.42,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,64.7.199.42,,Intel::ADDR,
