domain,category,score,first_seen,last_seen,ports,ip,url,type,file_hash
,THREATFOX,0.0,2025-04-21,2025-04-21,,185.193.125.249,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,185.193.125.249,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,176.100.36.71,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,176.100.36.71,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,15.168.164.74,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,15.168.164.74,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,13.214.141.247,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,13.214.141.247,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,18.228.26.120,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,18.228.26.120,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,193.83.224.70,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,193.83.224.70,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,207.244.236.115,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,207.244.236.115,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,192.46.223.145,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,192.46.223.145,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,194.26.192.232,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,194.26.192.232,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,196.251.115.136,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,196.251.115.136,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,194.26.192.213,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,194.26.192.213,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,45.95.42.190,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,45.95.42.190,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,96.9.125.197,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,96.9.125.197,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,8.138.125.200,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,8.138.125.200,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,45.144.50.8,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,18.176.122.97,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,18.176.122.97,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,45.32.124.13,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,45.32.124.13,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,88.119.169.53,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,88.119.169.53,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,155.138.241.220,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,155.138.241.220,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,196.251.115.31,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,196.251.115.31,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,193.26.115.218,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,193.26.115.218,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,67.217.228.14,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,67.217.228.14,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,54.90.144.239,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,54.90.144.239,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,37.13.39.51,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,37.13.39.51,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,84.46.239.239,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,84.46.239.239,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,47.99.169.201,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,47.99.169.201,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,1.94.105.46,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,1.94.105.46,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,45.227.253.91,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,45.227.253.91,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,47.97.0.235,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,47.97.0.235,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,94.156.115.12,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,146.19.170.222,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,146.56.51.149,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,146.56.51.149,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,46.201.81.233,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,46.201.81.233,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,109.120.137.57,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,109.120.137.57,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,3.8.78.144,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,3.8.78.144,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,16.163.161.107,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,16.163.161.107,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,8.140.25.155,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,8.140.25.155,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,36.133.14.65,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,36.133.14.65,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,117.23.59.90,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,117.23.59.90,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,120.27.162.47,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,120.27.162.47,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,45.125.12.175,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,31.58.51.98,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,31.58.51.98,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,51.38.137.114,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,103.178.235.240,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,103.178.235.240,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,104.168.101.27,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,104.168.101.27,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,176.65.137.221,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,176.65.137.221,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,176.65.138.240,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,176.65.140.174,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,176.65.140.174,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,176.65.141.183,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,176.65.142.252,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,176.65.144.193,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,176.65.144.193,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,176.65.144.253,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,185.196.9.222,,Intel::ADDR,
,THREATFOX,0.0,2025-04-21,2025-04-21,,185.196.9.222,,Intel::ADDR,
