domain,category,score,first_seen,last_seen,ports,ip,url,type,file_hash
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,100.23.213.128,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,101.47.15.119,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,101.50.83.146,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,101.96.192.45,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,102.210.82.20,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,102.220.160.26,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,102.220.160.29,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,102.220.160.38,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,102.220.160.39,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,102.220.160.41,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,102.220.160.67,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,103.160.5.123,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,103.167.88.166,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,103.172.12.3,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,103.182.235.156,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,103.19.196.230,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,103.194.106.230,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,103.216.127.123,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,103.252.127.146,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,103.36.32.186,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,103.5.210.47,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,103.85.85.175,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,104.155.101.5,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,104.155.104.83,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,104.155.107.253,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,104.155.30.31,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,104.155.47.16,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,104.155.84.73,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,104.199.101.188,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,104.199.12.168,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,104.199.14.152,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,104.199.54.179,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,104.199.71.189,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,107.189.10.124,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,109.172.55.136,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,111.53.8.101,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,112.167.99.220,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,112.203.69.89,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,113.0.152.164,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,116.110.10.92,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,116.110.1.127,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,116.110.145.128,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,116.110.146.239,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,116.110.149.111,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,116.110.15.225,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,116.110.153.197,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,116.110.159.126,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,116.110.17.197,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,116.110.208.247,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,116.110.208.56,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,116.110.209.240,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,116.110.211.241,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,116.110.213.20,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,116.110.214.67,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,116.110.23.104,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,116.110.7.45,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,116.255.215.168,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,116.99.168.232,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,116.99.169.180,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,116.99.169.38,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,116.99.170.251,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,116.99.171.3,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,116.99.172.197,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,116.99.173.255,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,116.99.174.162,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,116.99.174.58,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,116.99.175.194,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,118.194.249.186,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,118.196.86.191,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,118.216.88.229,,Intel::ADDR,
