domain,category,score,first_seen,last_seen,ports,ip,url,type,file_hash
,TweetFeed,0.0,2026-08-01,2026-08-01,,109.236.92.46,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,129.121.91.245,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,129.121.91.245,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,196.251.107.171,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,196.251.107.171,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,134.195.88.33,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,134.195.88.33,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,134.195.88.33,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,85.239.144.47,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,85.239.144.47,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,192.178.183.132,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,170.205.31.203,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,139.180.186.155,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,95.216.118.146,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,199.36.158.100,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,175.107.237.163,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,175.107.237.163,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,58.37.101.152,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,58.37.101.152,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,202.69.74.130,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,8.211.153.128,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,176.65.148.145,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,176.65.148.145,,Intel::ADDR,
